id;Year;Edition;Film;Song;Nominees;Won
273;1973;46;Robin Hood;Love;George Bruns (music);
6;1935;8;Roberta;Lovely to Look At;Jerome Kern (music);
5;1935;8;Gold Diggers of 1935;Lullaby of Broadway;Harry Warren (music);
398;1994;67;The Paper;Make Up Your Mind;Randy Newman (music & lyrics);False
491;2011;84;The Muppets;Man or Muppet;Bret McKenzie (music & lyrics);True
331;1983;56;Flashdance;Maniac;Dennis Matkosky & Michael Sembello (music & lyrics);True
514;2015;88;Racing Extinction;Manta Ray;J. Ralph (music);
266;1972;45;The Life and Times of Judge Roy Bean;Marmalade, Molasses & Honey;Maurice Jarre (music);
438;2001;74;The Lord of the Rings: The Fellowship of the Ring;May It Be;Enya, Nicky & Roma Ryan (music and lyrics);False
351;1986;59;Little Shop of Horrors;Mean Green Mother from Outer Space;Alan Menken (music);
29;1938;11;Merrily We Live;Merrily We Live;Phil Charig (music);
527;2017;90;Mudbound;Mighty River;Mary J. Blige, Raphael Saadiq & Taura Stinson (music & lyrics);False
415;1997;70;Good Will Hunting;Miss Misery;Elliott Smith (music & lyrics);False
132;1950;23;Captain Carey, U.S.A.;Mona Lisa;Ray Evans & Jay Livingston (music & lyrics);True
198;1961;34;Breakfast at Tiffany's;Moon River;Henry Mancini (music);
403;1995;68;Sabrina;Moonlight;John Williams (music);
97;1945;18;Can't Help Singing;More and More;Jerome Kern (p.n.) (music);
214;1963;36;Mondo Cane;More;Nino Oliviero & Riz Ortolani (music);
134;1950;23;Singing Guns;Mule Train;Fred Glickman, Hy Heath & Johnny Lange (music & lyrics);False
426;1999;72;Music of the Heart;Music of My Heart;Diane Warren (music & lyrics);False
154;1953;26;Small Town Girl;My Flaming Heart;Slug Brodszky (music);
129;1949;22;My Foolish Heart;My Foolish Heart;Victor Young (music);
433;2000;73;The Emperor's New Groove;My Funny Friend and Me;David Hartley & Sting (music);
412;1997;70;Titanic;My Heart Will Go On;James Horner (music);
219;1964;37;Robin and the 7 Hoods;My Kind of Town;Jimmy Van Heusen (music);
30;1938;11;That Certain Age;My Own;Jimmy McHugh (music);
74;1943;16;The Sky's the Limit;My Shining Hour;Arlen (music);
232;1966;39;Hawaii;My Wishing Doll;Elmer Bernstein (music);
524;2017;90;Call Me by Your Name;Mystery of Love;Sufjan Stevens (music & lyrics);False
551;2022;95;RRR;Naatu Naatu;M. M. Keeravani (music);
192;1960;33;Never on Sunday;Never on Sunday;Manos Hatzidakis (music & lyrics);True
139;1951;24;Golden Girl;Never;Lionel Newman (music);
271;1973;46;Cinderella Liberty;Nice to Be Around;John Williams (music);
545;2021;94;No Time to Die;No Time to Die;Billie Eilish & Finneas O'Connell (music & lyrics);True
298;1977;50;The Spy Who Loved Me;Nobody Does It Better;Marvin Hamlisch (music);
357;1987;60;Mannequin;Nothing's Gonna Stop Us Now;Albert Hammond & Diane Warren (music & lyrics);False
91;1944;17;Up in Arms;Now I Know;Harold Arlen (music);
23;1938;11;Alexander's Ragtime Band;Now It Can Be Told;Irving Berlin (music & lyrics);False
286;1975;48;Whiffs;Now That We're in Love;George Barrie (music);
477;2008;81;Slumdog Millionaire;O... Saya;Rahman & M.I.A. (music & lyrics);True
110;1946;19;Canyon Passage;Ole Buttermilk Sky;Hoagy Carmichael (music);
108;1946;19;The Harvey Girls;On the Atchison, Topeka and the Santa Fe;Harry Warren (music);
316;1980;53;Honeysuckle Rose;On the Road Again;Willie Nelson (music & lyrics);False
322;1981;54;Ragtime;One More Hour;Randy Newman (music & lyrics);False
42;1940;13;Rhythm on the River;Only Forever;James V. Monaco (music);
503;2013;86;Mandela: Long Walk to Freedom;Ordinary Love;U2 (music);
45;1940;13;Strike Up the Band;Our Love Affair;Roger Edens & Arthur Freed (music & lyrics);False
465;2006;79;Cars;Our Town;Randy Newman (music & lyrics);False
315;1980;53;Fame;Out Here on My Own;Michael Gore (music);
49;1941;14;All-American Co-ed;Out of the Silence;Lloyd B. Norlin (music and lyrics);False
33;1939;12;The Wizard of Oz;Over the Rainbow;Harold Arlen (music);
332;1983;56;Tender Mercies;Over You;Bobby Hart & Austin Roberts (music & lyrics);False
333;1983;56;Yentl;Papa, Can You Hear Me?;Michel Legrand (music);
115;1947;20;Good News;Pass That Peace Pipe;Ralph Blane, Roger Edens & Hugh Martin (music & lyrics);False
468;2006;79;Dreamgirls;Patience;Henry Krieger (music);
62;1942;15;Flying with Music;Pennies for Peppino;Edward Ward (music);
11;1936;9;Pennies from Heaven;Pennies from Heaven;Arthur Johnston (music);
314;1980;53;The Competition;People Alone;Lalo Schifrin (music);
390;1993;66;Philadelphia;Philadelphia;Neil Young (music & lyrics);True
255;1970;43;Pieces of Dreams;Pieces of Dreams;Michel Legrand (music);
63;1942;15;Hellzapoppin' [a];Pig Foot Pete;Gene de Paul (music);
497;2012;85;Life of Pi;Pi's Lullaby;Mychael Danna (music);
201;1961;34;Pocketful of Miracles;Pocketful of Miracles;Jimmy Van Heusen (music);
371;1990;63;The Godfather Part III;Promise Me You'll Remember;Carmine Coppola (music);
168;1956;29;The Man Who Knew Too Much;Que Sera, Sera;Ray Evans & Jay Livingston (music & lyrics);True
309;1979;52;The Muppet Movie;Rainbow Connection;Kenny Ascher & Paul Williams (music & lyrics);False
246;1969;42;Butch Cassidy and the Sundance Kid;Raindrops Keep Fallin' on My Head;Burt Bacharach (music);
471;2007;80;August Rush;Raise It Up;Jamal Joseph, Charles Mack & Tevin Thomas (music & lyrics);False
301;1978;51;Foul Play;Ready to Take a Chance Again;Charles Fox (music);
492;2011;84;Rio;Real in Rio;Carlinhos Brown & Sérgio Mendes (music);
88;1944;17;Minstrel Man;Remember Me to Carolina;Harry Revel (music);
18;1937;10;Mr. Dodd Takes the Air;Remember Me;Harry Warren (music);
523;2017;90;Coco;Remember Me;Kristen Anderson-Lopez & Robert Lopez (music & lyrics);True
285;1975;48;The Other Side of the Mountain;Richard's Window;Charles Fox (music);
81;1944;17;Brazil;Rio de Janeiro;Ary Barroso (music);
385;1992;65;The Bodyguard;Run to You;Jud J. Friedman (music);
73;1943;16;Saludos Amigos;Saludos Amigos;Charles Wolcott (music);
425;1999;72;Magnolia;Save Me;Aimee Mann (music & lyrics);False
71;1943;16;Hers to Hold;Say a Pray'r for the Boys Over There;Jimmy McHugh (music);
342;1985;58;White Nights;Say You, Say Me;Lionel Richie (music & lyrics);True
449;2003;76;Cold Mountain;Scarlet Tide;T Bone Burnett & Elvis Costello (music & lyrics);False
207;1962;35;Two for the Seesaw;Second Chance;André Previn (music);
150;1953;26;Calamity Jane;Secret Love;Sammy Fain (music);
346;1985;58;White Nights;Separate Lives;Stephen Bishop (music & lyrics);True
355;1987;60;Beverly Hills Cop II;Shakedown;Harold Faltermeyer & Keith Forsey (music);
529;2018;91;A Star Is Born;Shallow;Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt (music & lyrics);True
86;1944;17;Lady, Let's Dance;Silver Shadows and Golden Dreams;Lew Pollack (music);
515;2015;88;Youth;Simple Song #3;David Lang (music & lyrics);False
56;1941;14;You'll Never Get Rich;Since I Kissed My Baby Goodbye;Cole Porter (music & lyrics);False
345;1985;58;The Color Purple;Sister;Quincy Jones & Rod Temperton (music);
494;2012;85;Skyfall;Skyfall;Adele & Paul Epworth (music & lyrics);True
95;1945;18;Belle of the Yukon;Sleighride in July;Jimmy Van Heusen (music);
473;2007;80;Enchanted;So Close;Alan Menken (music);
106;1945;18;Wonder Man;So in Love;David Rose (music);
211;1963;36;55 Days at Peking;So Little Time;Dimitri Tiomkin (music);
101;1945;18;San Antonio;Some Sunday Morning;Ray Heindorf & M. K. Jerome (music);
548;2021;94;Four Good Days;Somehow You Do;Diane Warren (music & lyrics);False
296;1977;50;The Rescuers;Someone's Waiting for You;Sammy Fain (music);
163;1955;28;Daddy Long Legs;Something's Gotta Give;Johnny Mercer (music & lyrics);False
372;1990;63;Home Alone;Somewhere in My Memory;John Williams (music);
349;1986;59;An American Tail;Somewhere Out There;James Horner & Barry Mann (music);
370;1990;63;Dick Tracy;Sooner or Later;Stephen Sondheim (music & lyrics);True
543;2020;93;One Night in Miami...;Speak Now;Sam Ashworth & Leslie Odom Jr. (music & lyrics);False
526;2017;90;Marshall;Stand Up for Something;Diane Warren (music);
538;2019;92;Harriet;Stand Up;Joshuah Brian Campbell & Cynthia Erivo (music & lyrics);False
244;1968;41;Star!;Star!;Jimmy Van Heusen (music);
358;1987;60;The Princess Bride;Storybook Love;Willy DeVille (music & lyrics);False
190;1959;32;The Young Land;Strange Are the Ways of Love;Dimitri Tiomkin (music);
268;1972;45;The Stepmother;Strange Are the Ways of Love;Sammy Fain (music);
388;1993;66;Philadelphia;Streets of Philadelphia;Bruce Springsteen (music & lyrics);True
496;2012;85;Les Misérables;Suddenly;Claude-Michel Schönberg (music);
344;1985;58;A Chorus Line;Surprise, Surprise;Marvin Hamlisch (music);
85;1944;17;Hollywood Canteen;Sweet Dreams, Sweetheart;M. K. Jerome (music);
16;1937;10;Waikiki Wedding;Sweet Leilani;Harry Owens (music & lyrics);True
80;1944;17;Going My Way;Swinging on a Star;Jimmy Van Heusen (music);
481;2009;82;Nine;Take It All;Maury Yeston (music & lyrics);False
348;1986;59;Top Gun;Take My Breath Away;Giorgio Moroder (music);
234;1967;40;Doctor Dolittle;Talk to the Animals;Leslie Bricusse (music & lyrics);True
177;1957;30;Tammy and the Bachelor;Tammy;Ray Evans & Jay Livingston (music & lyrics);False
206;1962;35;Tender Is the Night;Tender Is the Night;Sammy Fain (music);
256;1970;43;Scrooge;Thank You Very Much;Leslie Bricusse (music & lyrics);False
22;1938;11;The Big Broadcast of 1938;Thanks for the Memory;Ralph Rainger (music);
77;1943;16;Star Spangled Rhythm;That Old Black Magic [b];Harold Arlen (music);
20;1937;10;Walter Wanger's Vogues of 1938;That Old Feeling;Sammy Fain (music);
409;1996;69;That Thing You Do!;That Thing You Do!;Adam Schlesinger (music & lyrics);False
420;1998;71;Babe: Pig in the City;That'll Do;Randy Newman (music & lyrics);False
151;1953;26;The Caddy;That's Amore;Harry Warren (music);
474;2007;80;Enchanted;That's How You Know;Alan Menken (music);
259;1971;44;Bedknobs and Broomsticks;The Age of Not Believing;Sherman Brothers (music & lyrics);False
223;1965;38;Cat Ballou;The Ballad of Cat Ballou;Jerry Livingston (music);
144;1952;25;High Noon;The Ballad of High Noon;Dimitri Tiomkin (music);
237;1967;40;The Jungle Book;The Bare Necessities;Terry Gilkyson (music & lyrics);False
187;1959;32;The Best of Everything;The Best of Everything;Alfred Newman (music);
105;1945;18;Why Girls Leave Home;The Cat and the Canary;Jay Livingston (music);
1;1934;7;The Gay Divorcee;The Continental;Con Conrad (music);
25;1938;11;The Cowboy and the Lady;The Cowboy and the Lady;Lionel Newman (music);
389;1993;66;Beethoven's 2nd;The Day I Fall in Love;James Ingram, Clif Magness & Carole Bayer Sager (music & lyrics);False
518;2016;89;Jim: The James Foley Story;The Empty Chair;J. Ralph & Sting (music & lyrics);False
235;1967;40;Banning;The Eyes of Love;Quincy Jones (music);
194;1960;33;The Facts of Life;The Facts of Life;Johnny Mercer (music & lyrics);False
200;1961;34;El Cid;The Falcon and the Dove;Miklós Rózsa (music);
560;2023;96;Flamin' Hot;The Fire Inside;Diane Warren (music & lyrics);False
321;1981;54;The Great Muppet Caper;The First Time It Happens;Joe Raposo (music & lyrics);False
188;1959;32;The Five Pennies;The Five Pennies;Sylvia Fine (music & lyrics);False
368;1989;62;Shirley Valentine;The Girl Who Used to Be Me;Marvin Hamlisch (music);
193;1960;33;The Alamo;The Green Leaves of Summer;Dimitri Tiomkin (music);
445;2002;75;Gangs of New York;The Hands That Built America;U2 (music & lyrics);False
189;1959;32;The Hanging Tree;The Hanging Tree;Jerry Livingston (music);
157;1954;27;The High and the Mighty;The High and the Mighty;Dimitri Tiomkin (music);
304;1978;51;Same Time, Next Year;The Last Time I Felt Like This;Marvin Hamlisch (music);
48;1941;14;Lady Be Good;The Last Time I Saw Paris;Jerome Kern (music);
236;1967;40;Casino Royale;The Look of Love;Burt Bacharach (music);
158;1954;27;A Star Is Born;The Man That Got Away;Harold Arlen (music);
153;1953;26;The Moon Is Blue;The Moon Is Blue;Herschel Burke Gilbert (music);
502;2013;86;Her;The Moon Song;Karen O (music);
264;1972;45;The Poseidon Adventure;The Morning After;Joel Hirschhorn & Al Kasha (music & lyrics);True
532;2018;91;Mary Poppins Returns;The Place Where Lost Things Go;Marc Shaiman (music);
343;1985;58;Back to the Future;The Power of Love;Johnny Colla & Chris Hayes (music);
422;1998;71;Quest for Camelot;The Prayer;David Foster & Carole Bayer Sager (music);
195;1960;33;High Time;The Second Time Around;Jimmy Van Heusen (music);
222;1965;38;The Sandpiper;The Shadow of Your Smile;Johnny Mandel (music);
224;1965;38;The Great Race;The Sweetheart Tree;Henry Mancini (music);
87;1944;17;Meet Me in St. Louis;The Trolley Song;Ralph Blane & Hugh Martin (music & lyrics);False
334;1983;56;Yentl;The Way He Makes Me Feel;Michel Legrand (music);
270;1973;46;The Way We Were;The Way We Were;Marvin Hamlisch (music);
9;1936;9;Swing Time;The Way You Look Tonight;Jerome Kern (music);
480;2009;82;Crazy Heart;The Weary Kind;Ryan Bingham & T Bone Burnett (music & lyrics);True
240;1968;41;The Thomas Crown Affair;The Windmills of Your Mind;Michel Legrand (music);
124;1948;21;Wet Blanket Policy;The Woody Woodpecker Song;Ramey Idriss & George Tibbles (music & lyrics);False
284;1975;48;Mahogany;Theme from Mahogany (Do You Know Where You're Going To);Michael Masser (music);
258;1971;44;Shaft;Theme from Shaft;Isaac Hayes (music & lyrics);True
439;2001;74;Pearl Harbor;There You'll Be;Diane Warren (music & lyrics);False
64;1942;15;The Mayor of 44th Street;There's a Breeze on Lake Louise;Harry Revel (music);
19;1937;10;Shall We Dance;They Can't Take That Away from Me;George Gershwin (p.n.) (music);
78;1943;16;Thank Your Lucky Stars;They're Either Too Young or Too Old;Arthur Schwartz (music);
430;2000;73;Wonder Boys;Things Have Changed;Bob Dylan (music and lyrics);True
553;2022;95;Everything Everywhere All at Once;This Is a Life;David Byrne, Ryan Lott & Mitski (music);
525;2017;90;The Greatest Showman;This Is Me;Benj Pasek & Justin Paul (music & lyrics);False
123;1948;21;That Lady in Ermine;This Is the Moment;Friedrich Hollaender (music);
238;1967;40;Thoroughly Modern Millie;Thoroughly Modern Millie;Sammy Cahn & Jimmy Van Heusen (music & lyrics);False
156;1954;27;Three Coins in the Fountain;Three Coins in the Fountain;Jule Styne (music);
127;1949;22;Come to the Stable;Through a Long and Sleepless Night;Alfred Newman (music);
308;1979;52;Ice Castles;Through the Eyes of Love;Marvin Hamlisch (music);
146;1952;25;Hans Christian Andersen;Thumbelina;Frank Loesser (music & lyrics);False
513;2015;88;The Hunting Ground;Til It Happens to You;Lady Gaga & Diane Warren (music & lyrics);False
254;1970;43;Madron;Till Love Touches Your Life;Riz Ortolani (music);
184;1958;31;Some Came Running;To Love and Be Loved;Jimmy Van Heusen (music);
141;1951;24;Royal Wedding;Too Late Now;Burton Lane (music);
89;1944;17;Song of the Open Road;Too Much in Love;Walter Kent (music);
202;1961;34;Town Without Pity;Town Without Pity;Dimitri Tiomkin (music);
462;2005;78;Transamerica;Travelin' Thru;Dolly Parton (music & lyrics);False
250;1969;42;True Grit;True Grit;Elmer Bernstein (music);
170;1956;29;High Society;True Love;Cole Porter (music & lyrics);False
362;1988;61;Buster;Two Hearts;Lamont Dozier (music);
166;1955;28;Unchained;Unchained Melody;Alex North (music);
364;1989;62;The Little Mermaid;Under the Sea;Alan Menken (music);
437;2001;74;Kate & Leopold;Until...;Sting (music & lyrics);False
324;1982;55;An Officer and a Gentleman;Up Where We Belong;Jack Nitzsche & Buffy Sainte-Marie (music);
440;2001;74;Vanilla Sky;Vanilla Sky;Paul McCartney (music & lyrics);False
561;2023;96;Killers of the Flower Moon;Wahzhazhe (A Song for My People);Scott George (music & lyrics);False
208;1962;35;Walk on the Wild Side;Walk on the Wild Side;Elmer Bernstein (music);
44;1940;13;Spring Parade;Waltzing in the Clouds;Robert Stolz (music);
486;2010;83;Toy Story 3;We Belong Together;Randy Newman (music & lyrics);True
276;1974;47;The Towering Inferno;We May Never Love Like This Again;Joel Hirschhorn & Al Kasha (music & lyrics);True
76;1943;16;Stage Door Canteen;We Mustn't Say Goodbye;James V. Monaco (music);
247;1969;42;The Happy Ending;What Are You Doing the Rest of Your Life?;Michel Legrand (music);
559;2023;96;Barbie;What Was I Made For?;Billie Eilish & Finneas O'Connell (music & lyrics);False
226;1965;38;What's New Pussycat?;What's New Pussycat?;Burt Bacharach (music);
530;2018;91;The Ballad of Buster Scruggs;When a Cowboy Trades His Spurs for Wings;David Rawlings & Gillian Welch (music & lyrics);False
12;1936;9;Sing, Baby, Sing;When Did You Leave Heaven;Richard A. Whiting (music);
428;1999;72;Toy Story 2;When She Loved Me;Randy Newman (music & lyrics);False
418;1998;71;The Prince of Egypt;When You Believe;Stephen Schwartz (music & lyrics);True
38;1940;13;Pinocchio;When You Wish Upon a Star;Leigh Harline (music);
379;1991;64;Hook;When You're Alone;John Williams (music);
303;1978;51;The Magic of Lassie;When You're Loved;Sherman Brothers (music & lyrics);False
220;1964;37;Where Love Has Gone;Where Love Has Gone;Jimmy Van Heusen (music);
279;1974;47;Gold;Wherever Love Takes Me;Elmer Bernstein (music);
17;1937;10;Artists and Models;Whispers in the Dark;Friedrich Hollaender (music);
253;1970;43;Darling Lili;Whistling Away the Dark;Henry Mancini (music);
58;1942;15;Holiday Inn;White Christmas;Irving Berlin (music & lyrics);True
40;1940;13;Hit Parade of 1941;Who Am I?;Jule Styne (music);
178;1957;30;Wild Is the Wind;Wild Is the Wind;Dimitri Tiomkin (music);
136;1950;23;Wabash Avenue;Wilhelmina;Josef Myrow (music);
35;1939;12;Love Affair;Wishing;Buddy DeSylva (music and lyrics);False
140;1951;24;Rich, Young and Pretty;Wonder Why;Slug Brodszky (music);
511;2015;88;Spectre;Writing's on the Wall;Jimmy Napes & Sam Smith (music & lyrics);True
172;1956;29;Written on the Wind;Written on the Wind;Victor Young (p.n.) (music);
116;1947;20;Mother Wore Tights;You Do;Josef Myrow (music);
109;1946;19;Blue Skies;You Keep Coming Back Like a Song;Irving Berlin (music & lyrics);False
294;1977;50;You Light Up My Life;You Light Up My Life;Joseph Brooks (music & lyrics);True
406;1996;69;Evita;You Must Love Me;Andrew Lloyd Webber (music);
450;2003;76;Cold Mountain;You Will Be My Ain True Love;Sting (music & lyrics);False
75;1943;16;Something to Shout About;You'd Be So Nice to Come Home To;Cole Porter (music & lyrics);False
424;1999;72;Tarzan;You'll Be in My Heart;Phil Collins (music & lyrics);True
69;1943;16;Hello, Frisco, Hello;You'll Never Know;Harry Warren (music);
404;1995;68;Toy Story;You've Got a Friend in Me;Randy Newman (music & lyrics);False
147;1952;25;Just for You;Zing a Little Zong;Harry Warren (music);
114;1947;20;Song of the South;Zip-a-Dee-Doo-Dah;Allie Wrubel (music);
