id;Year;Edition;Film;Art director(s);Won;Interior decorator(s);Set decorator(s);Production designer(s)
451;1976;49;All the President's Men;George Jenkins;True;;George Gaines;
454;1976;49;Logan's Run;Dale Hennesy;False;;Robert De Vestel;
452;1976;49;The Incredible Sarah;Elliot Scott;False;;Norman Reynolds;
453;1976;49;The Last Tycoon;Gene Callahan and Jack T. Collis;False;;Jerry Wunderlich;
455;1976;49;The Shootist;Robert F. Boyle;False;;Arthur Jeph Parker;
458;1977;50;Airport '77;George C. Webb;False;;Mickey S. Michaels;
459;1977;50;Close Encounters of the Third Kind;Joe Alves and Dan Lomino;False;;Phil Abramson;
457;1977;50;Star Wars;John Barry, Norman Reynolds and Leslie Dilley;True;;Roger Christian;
460;1977;50;The Spy Who Loved Me;Ken Adam and Peter Lamont;False;;Hugh Scaife;
461;1977;50;The Turning Point;Albert Brenner;False;;Marvin March;
465;1978;51;California Suite;Albert Brenner;False;;Marvin March;
463;1978;51;Heaven Can Wait;Paul Sylbert and Edwin O'Donovan;True;;George Gaines;
466;1978;51;Interiors;Mel Bourne;False;;Daniel Robert;
464;1978;51;The Brink's Job;Dean Tavoularis and Angelo P. Graham;False;;George R. Nelson and Bruce Kay;
467;1978;51;The Wiz;Tony Walton and Philip Rosenberg;False;;Edward Stewart and Robert Drumheller;
470;1979;52;Alien;Michael Seymour, Leslie Dilley and Roger Christian;False;;Ian Whittaker;
469;1979;52;All That Jazz;Philip Rosenberg and Tony Walton;True;;Edward Stewart and Gary J. Brink;
471;1979;52;Apocalypse Now;Dean Tavoularis and Angelo P. Graham;False;;George R. Nelson;
473;1979;52;Star Trek: The Motion Picture;Harold Michelson, Joe Jennings, Leon Harris and John Vallone;False;;Linda DeScenna;
472;1979;52;The China Syndrome;George Jenkins;False;;Arthur Jeph Parker;
476;1980;53;Coal Miner's Daughter;John W. Corso;False;;John M. Dwyer;
479;1980;53;Kagemusha;Yoshirō Muraki;False;;;
478;1980;53;Star Wars: Episode V – The Empire Strikes Back;Norman Reynolds, Leslie Dilley, Harry Lange and Alan Tomkins;False;;Michael D. Ford;
475;1980;53;Tess;Pierre Guffroy and Jack Stephens;True;;;
477;1980;53;The Elephant Man;Stuart Craig and Robert Cartwright;False;;Hugh Scaife;
483;1981;54;Heaven's Gate;Tambi Larsen;False;;James L. Berkey;
484;1981;54;Ragtime;John Graysmark, Patrizia von Brandenstein and Tony Reading;False;;George DeTitta Sr., George DeTitta Jr. and Peter Howitt;
481;1981;54;Raiders of the Lost Ark;Norman Reynolds and Leslie Dilley;True;;Michael D. Ford;
485;1981;54;Reds;Richard Sylbert;False;;Michael Seirton;
482;1981;54;The French Lieutenant's Woman;Assheton Gorton;False;;Ann Mollo;
488;1982;55;Annie;Dale Hennesy (posthumous nomination);False;;Marvin March;
489;1982;55;Blade Runner;Lawrence G. Paull and David L. Snyder;False;;Linda DeScenna;
487;1982;55;Gandhi;Stuart Craig and Robert W. Laing;True;;Michael Seirton;
490;1982;55;La Traviata;Franco Zeffirelli and Gianni Quaranta;False;;;
491;1982;55;Victor/Victoria;Rodger Maus, Tim Hutchinson and William Craig Smith;False;;Harry Cordwell;
493;1983;56;Fanny and Alexander;Anna Asp;True;;;
494;1983;56;Return of the Jedi;Norman Reynolds, Fred Hole and James L. Schoppe;False;;Michael D. Ford;
496;1983;56;Terms of Endearment;Polly Platt and Harold Michelson;False;;Tom Pedigo and Anthony Mondell;
495;1983;56;The Right Stuff;Geoffrey Kirkland, Richard Lawrence, W. Stewart Campbell and Peter R. Romero;False;;Jim Poynter and George R. Nelson;
497;1983;56;Yentl;Roy Walker and Leslie Tomkins;False;;Tessa Davies;
500;1984;57;2010;Albert Brenner;False;;Rick Simpson;
503;1984;57;A Passage to India;John Box;False;;Hugh Scaife;
499;1984;57;Amadeus;Patrizia von Brandenstein and Karel Černý;True;;;
501;1984;57;The Cotton Club;Richard Sylbert;False;;George Gaines;
502;1984;57;The Natural;Mel Bourne and Angelo P. Graham;False;;Bruce Weintraub;
506;1985;58;Brazil;Norman Garwood;False;;Maggie Gray;
505;1985;58;Out of Africa;Stephen B. Grimes;True;;Josie MacAvin;
508;1985;58;Ran;Yoshirō Muraki and Shinobu Muraki;False;;;
507;1985;58;The Color Purple;J. Michael Riva and Bo Welch;False;;Linda DeScenna;
509;1985;58;Witness;Stan Jolley;False;;John H. Anderson;
511;1986;59;A Room with a View;Gianni Quaranta and Brian Ackland-Snow;True;;Brian Savegar and Elio Altramura;
512;1986;59;Aliens;Peter Lamont;False;;Crispian Sallis;
514;1986;59;Hannah and Her Sisters;Stuart Wurtzel;False;;Carol Joffe;
513;1986;59;The Color of Money;Boris Leven;False;;Karen O'Hara;
515;1986;59;The Mission;Stuart Craig;False;;Jack Stephens;
518;1987;60;Empire of the Sun;Norman Reynolds;False;;Harry Cordwell;
519;1987;60;Hope and Glory;Anthony Pratt;False;;Joanne Woollard;
520;1987;60;Radio Days;Santo Loquasto;False;;Carol Joffe, Leslie Bloom and George DeTitta Jr.;
517;1987;60;The Last Emperor;Ferdinando Scarfiotti;True;;Bruno Cesari and Osvaldo Desideri;
521;1987;60;The Untouchables;Patrizia von Brandenstein and William A. Elliott;False;;Hal Gausman;
524;1988;61;Beaches;Albert Brenner;False;;Garrett Lewis;
523;1988;61;Dangerous Liaisons;Stuart Craig;True;;Gérard James;
525;1988;61;Rain Man;Ida Random;False;;Linda DeScenna;
526;1988;61;Tucker: The Man and His Dream;Dean Tavoularis;False;;Armin Ganz;
527;1988;61;Who Framed Roger Rabbit;Elliot Scott;False;;Peter Howitt;
529;1989;62;Batman;Anton Furst;True;;Peter Young;
532;1989;62;Driving Miss Daisy;Bruno Rubeo;False;;Crispian Sallis;
533;1989;62;Glory;Norman Garwood;False;;Garrett Lewis;
530;1989;62;The Abyss;Leslie Dilley;False;;Anne Kuljian;
531;1989;62;The Adventures of Baron Munchausen;Dante Ferretti;False;;Francesca Lo Schiavo;
536;1990;63;Cyrano de Bergerac;Ezio Frigerio;False;;Jacques Rouxel;
537;1990;63;Dances with Wolves;Jeffrey Beecroft;False;;Lisa Dean;
535;1990;63;Dick Tracy;Richard Sylbert;True;;Rick Simpson;
539;1990;63;Hamlet;Dante Ferretti;False;;Francesca Lo Schiavo;
538;1990;63;The Godfather Part III;Dean Tavoularis;False;;Gary Fettis;
542;1991;64;Barton Fink;Dennis Gassner;False;;Nancy Haigh;
541;1991;64;Bugsy;Dennis Gassner;True;;Nancy Haigh;
544;1991;64;Hook;Norman Garwood;False;;Garrett Lewis;
543;1991;64;The Fisher King;Mel Bourne;False;;Cindy Carr;
545;1991;64;The Prince of Tides;Paul Sylbert;False;;Caryl Heller;
548;1992;65;Bram Stoker's Dracula;Thomas E. Sanders;False;;Garrett Lewis;
549;1992;65;Chaplin;Stuart Craig;False;;Chris A. Butler;
547;1992;65;Howards End;Luciana Arrighi;True;;Ian Whittaker;
550;1992;65;Toys;Ferdinando Scarfiotti;False;;Linda DeScenna;
551;1992;65;Unforgiven;Henry Bumstead;False;;Janice Blackie-Goodine;
554;1993;66;Addams Family Values;Ken Adam;False;;Marvin March;
556;1993;66;Orlando;Ben Van Os and Jan Roelfs;False;;;
553;1993;66;Schindler's List;Allan Starski;True;;Ewa Braun;
555;1993;66;The Age of Innocence;Dante Ferretti;False;;Robert J. Franco;
557;1993;66;The Remains of the Day;Luciana Arrighi;False;;Ian Whittaker;
560;1994;67;Bullets over Broadway;Santo Loquasto;False;;Susan Bode;
561;1994;67;Forrest Gump;Rick Carter;False;;Nancy Haigh;
562;1994;67;Interview with the Vampire;Dante Ferretti;False;;Francesca Lo Schiavo;
563;1994;67;Legends of the Fall;Lilly Kilvert;False;;Dorree Cooper;
559;1994;67;The Madness of King George;Ken Adam;True;;Carolyn Scott;
568;1995;68;A Little Princess;Bo Welch;False;;Cheryl Carasik;
566;1995;68;Apollo 13;Michael Corenblith;False;;Merideth Boswell;
567;1995;68;Babe;Roger Ford;False;;Kerrie Brown;
565;1995;68;Restoration;Eugenio Zanetti;True;;;
569;1995;68;Richard III;Tony Burrough;False;;;
573;1996;69;Evita;Brian Morris;False;;Philippe Turlure;
574;1996;69;Hamlet;Tim Harvey;False;;;
575;1996;69;Romeo + Juliet;Catherine Martin;False;;Brigitte Broch;
572;1996;69;The Birdcage;Bo Welch;False;;Cheryl Carasik;
571;1996;69;The English Patient;Stuart Craig;True;;Stephenie McMillan;
578;1997;70;Gattaca;Jan Roelfs;False;;Nancy Nye;
579;1997;70;Kundun;Dante Ferretti;False;;Francesca Lo Schiavo;
580;1997;70;L.A. Confidential;Jeannine Oppewall;False;;Jay Hart;
581;1997;70;Men in Black;Bo Welch;False;;Cheryl Carasik;
577;1997;70;Titanic;Peter Lamont;True;;Michael D. Ford;
584;1998;71;Elizabeth;John Myhre;False;;Peter Howitt;
585;1998;71;Pleasantville;Jeannine Oppewall;False;;Jay Hart;
586;1998;71;Saving Private Ryan;Tom Sanders;False;;Lisa Dean Kavanaugh;
583;1998;71;Shakespeare in Love;Martin Childs;True;;Jill Quertier;
587;1998;71;What Dreams May Come;Eugenio Zanetti;False;;Cindy Carr;
590;1999;72;Anna and the King;Luciana Arrighi;False;;Ian Whittaker;
589;1999;72;Sleepy Hollow;Rick Heinrichs;True;;Peter Young;
591;1999;72;The Cider House Rules;David Gropman;False;;Beth Rubino;
592;1999;72;The Talented Mr. Ripley;Roy Walker;False;;Bruno Cesari;
593;1999;72;Topsy-Turvy;Eve Stewart;False;;John Bush;
595;2000;73;Crouching Tiger, Hidden Dragon;Timmy Yip;True;;;
596;2000;73;Gladiator;Arthur Max;False;;Crispian Sallis;
597;2000;73;How the Grinch Stole Christmas;Michael Corenblith;False;;Merideth Boswell;
598;2000;73;Quills;Martin Childs;False;;Jill Quertier;
599;2000;73;Vatel;Jean Rabasse;False;;Françoise Benoît-Fresco;
602;2001;74;Amélie;Aline Bonetto;False;;Marie-Laure Valla;
603;2001;74;Gosford Park;Stephen Altman;False;;Anna Pinnock;
604;2001;74;Harry Potter and the Sorcerer's Stone;Stuart Craig;False;;Stephenie McMillan;
601;2001;74;Moulin Rouge!;Catherine Martin;True;;Brigitte Broch;
605;2001;74;The Lord of the Rings: The Fellowship of the Ring;Grant Major;False;;Dan Hennah;
607;2002;75;Chicago;John Myhre;True;;Gordon Sim;
608;2002;75;Frida;Felipe Fernández del Paso;False;;Hania Robledo;
609;2002;75;Gangs of New York;Dante Ferretti;False;;Francesca Lo Schiavo;
611;2002;75;Road to Perdition;Dennis Gassner;False;;Nancy Haigh;
610;2002;75;The Lord of the Rings: The Two Towers;Grant Major;False;;Dan Hennah and Alan Lee;
614;2003;76;Girl with a Pearl Earring;Ben Van Os;False;;Cecile Heideman;
616;2003;76;Master and Commander: The Far Side of the World;William Sandell;False;;Robert Gould;
617;2003;76;Seabiscuit;Jeannine Oppewall;False;;Leslie Pope;
615;2003;76;The Last Samurai;Lilly Kilvert;False;;Gretchen Rau;
613;2003;76;The Lord of the Rings: The Return of the King;Grant Major;True;;Dan Hennah and Alan Lee;
623;2004;77;A Very Long Engagement;Aline Bonetto;False;;;
620;2004;77;Finding Neverland;Gemma Jackson;False;;Trisha Edwards;
621;2004;77;Lemony Snicket's A Series of Unfortunate Events;Rick Heinrichs;False;;Cheryl Carasik;
619;2004;77;The Aviator;Dante Ferretti;True;;Francesca Lo Schiavo;
622;2004;77;The Phantom of the Opera;Anthony Pratt;False;;Celia Bobak;
626;2005;78;Good Night, and Good Luck;Jim Bissell;False;;Jan Pascale;
627;2005;78;Harry Potter and the Goblet of Fire;Stuart Craig;False;;Stephenie McMillan;
628;2005;78;King Kong;Grant Major;False;;Dan Hennah and Simon Bright;
625;2005;78;Memoirs of a Geisha;John Myhre;True;;Gretchen Rau;
629;2005;78;Pride & Prejudice;Sarah Greenwood;False;;Katie Spencer;
632;2006;79;Dreamgirls;John Myhre;False;;Nancy Haigh;
631;2006;79;Pan's Labyrinth;Eugenio Caballero;True;;Pilar Revuelta;
634;2006;79;Pirates of the Caribbean: Dead Man's Chest;Rick Heinrichs;False;;Cheryl Carasik;
633;2006;79;The Good Shepherd;Jeannine Claudia Oppewall;False;;Gretchen Rau and Leslie E. Rollins;
635;2006;79;The Prestige;Nathan Crowley;False;;Julie Ochipinti;
638;2007;80;American Gangster;Arthur Max;False;;Beth A. Rubino;
639;2007;80;Atonement;Sarah Greenwood;False;;Katie Spencer;
637;2007;80;Sweeney Todd: The Demon Barber of Fleet Street;Dante Ferretti;True;;Francesca Lo Schiavo;
640;2007;80;The Golden Compass;Dennis Gassner;False;;Anna Pinnock;
641;2007;80;There Will Be Blood;Jack Fisk;False;;Jim Erickson;
644;2008;81;Changeling;James J. Murakami;False;;Gary Fettis;
647;2008;81;Revolutionary Road;Kristi Zea;False;;Debra Schutt;
643;2008;81;The Curious Case of Benjamin Button;Donald Graham Burt;True;;Victor J. Zolfo;
645;2008;81;The Dark Knight;Nathan Crowley;False;;Peter Lando;
646;2008;81;The Duchess;Michael Carlin;False;;Rebecca Alleway;
649;2009;82;Avatar;Rick Carter and Robert Stromberg;True;;Kim Sinclair;
651;2009;82;Nine;John Myhre;False;;Gordon Sim;
652;2009;82;Sherlock Holmes;Sarah Greenwood;False;;Katie Spencer;
650;2009;82;The Imaginarium of Doctor Parnassus;Dave Warren and Anastasia Masaro;False;;Caroline Smith;
653;2009;82;The Young Victoria;Patrice Vermette;False;;Maggie Gray;
655;2010;83;Alice in Wonderland;;True;;Karen O'Hara;Robert Stromberg
656;2010;83;Harry Potter and the Deathly Hallows – Part 1;;False;;Stephenie McMillan;Stuart Craig
657;2010;83;Inception;;False;;Larry Dias and Doug Mowat;Guy Hendrix Dyas
658;2010;83;The King's Speech;;False;;Judy Farr;Eve Stewart
659;2010;83;True Grit;;False;;Nancy Haigh;Jess Gonchor
663;2011;84;Harry Potter and the Deathly Hallows – Part 2;;False;;Stephenie McMillan;Stuart Craig
661;2011;84;Hugo;;True;;Francesca Lo Schiavo;Dante Ferretti
664;2011;84;Midnight in Paris;;False;;Hélène Dubreuil;Anne Seibel
662;2011;84;The Artist;;False;;Robert Gould;Laurence Bennett
665;2011;84;War Horse;;False;;Lee Sandales;Rick Carter
668;2012;85;Anna Karenina;;False;;Katie Spencer;Sarah Greenwood
670;2012;85;Les Misérables;;False;;Anna Lynch-Robinson;Eve Stewart
671;2012;85;Life of Pi;;False;;Anna Pinnock;David Gropman
667;2012;85;Lincoln;;True;;Jim Erickson;Rick Carter
669;2012;85;The Hobbit: An Unexpected Journey;;False;;Ra Vincent and Simon Bright;Dan Hennah
674;2013;86;12 Years a Slave;;False;;Alice Baker;Adam Stockhausen
675;2013;86;American Hustle;;False;;Heather Loeffler;Judy Becker
676;2013;86;Gravity;;False;;Rosie Goodwin and Joanne Woollard;Andy Nicholson
677;2013;86;Her;;False;;Gene Serdena;K. K. Barrett
673;2013;86;The Great Gatsby;;True;;Beverley Dunn;Catherine Martin
681;2014;87;Interstellar;;False;;Gary Fettis;Nathan Crowley
682;2014;87;Into the Woods;;False;;Anna Pinnock;Dennis Gassner
683;2014;87;Mr. Turner;;False;;Charlotte Watts;Suzie Davies
679;2014;87;The Grand Budapest Hotel;;True;;Anna Pinnock;Adam Stockhausen
680;2014;87;The Imitation Game;;False;;Tatiana Macdonald;Maria Djurkovic
686;2015;88;Bridge of Spies;;False;;Rena DeAngelo and Bernhard Henrich;Adam Stockhausen
685;2015;88;Mad Max: Fury Road;;True;;Lisa Thompson;Colin Gibson
687;2015;88;The Danish Girl;;False;;Michael Standish;Eve Stewart
688;2015;88;The Martian;;False;;Celia Bobak;Arthur Max
689;2015;88;The Revenant;;False;;Hamish Purdy;Jack Fisk
692;2016;89;Arrival;;False;;Paul Hotte;Patrice Vermette
693;2016;89;Fantastic Beasts and Where to Find Them;;False;;Anna Pinnock;Stuart Craig
694;2016;89;Hail, Caesar!;;False;;Nancy Haigh;Jess Gonchor
691;2016;89;La La Land;;True;;Sandy Reynolds-Wasco;David Wasco
695;2016;89;Passengers;;False;;Gene Serdena;Guy Hendrix Dyas
698;2017;90;Beauty and the Beast;;False;;Katie Spencer;Sarah Greenwood
699;2017;90;Blade Runner 2049;;False;;Alessandra Querzola;Dennis Gassner
700;2017;90;Darkest Hour;;False;;Katie Spencer;Sarah Greenwood
701;2017;90;Dunkirk;;False;;Gary Fettis;Nathan Crowley
697;2017;90;The Shape of Water;;True;;Shane Vieau and Jeff Melvin;Paul Denham Austerberry
703;2018;91;Black Panther;;True;;Jay Hart;Hannah Beachler
705;2018;91;First Man;;False;;Kathy Lucas;Nathan Crowley
706;2018;91;Mary Poppins Returns;;False;;Gordon Sim;John Myhre
707;2018;91;Roma;;False;;Bárbara Enrı́quez;Eugenio Caballero
704;2018;91;The Favourite;;False;;Alice Felton;Fiona Crombie
712;2019;92;1917;;False;;Lee Sandales;Dennis Gassner
711;2019;92;Jojo Rabbit;;False;;Nora Sopková;Ra Vincent
709;2019;92;Once Upon a Time in Hollywood;;True;;Nancy Haigh;Barbara Ling
713;2019;92;Parasite;;False;;Cho Won-woo;Lee Ha-jun
710;2019;92;The Irishman;;False;;Regina Graves;Bob Shaw
717;2020;93;Ma Rainey's Black Bottom;;False;;Karen O'Hara and Diana Stoughton;Mark Ricker
715;2020;93;Mank;;True;;Jan Pascale;Donald Graham Burt
718;2020;93;News of the World;;False;;Elizabeth Keenan;David Crank
719;2020;93;Tenet;;False;;Kathy Lucas;Nathan Crowley
716;2020;93;The Father;;False;;Cathy Featherstone;Peter Francis
721;2021;94;Dune;;True;;Zsuzsanna Sipos;Patrice Vermette
722;2021;94;Nightmare Alley;;False;;Shane Vieau;Tamara Deverell
723;2021;94;The Power of the Dog;;False;;Amber Richards;Grant Major
724;2021;94;The Tragedy of Macbeth;;False;;Nancy Haigh;Stefan Dechant
725;2021;94;West Side Story;;False;;Rena DeAngelo;Adam Stockhausen
727;2022;95;All Quiet on the Western Front;;True;;Ernestine Hipper;Christian M. Goldbeck
728;2022;95;Avatar: The Way of Water;;False;;Vanessa Cole;Dylan Cole and Ben Procter
729;2022;95;Babylon;;False;;Anthony Carlino;Florencia Martin
730;2022;95;Elvis;;False;;Bev Dunn;Catherine Martin and Karen Murphy
731;2022;95;The Fabelmans;;False;;Karen O'Hara;Rick Carter
733;2023;96;Barbie;;False;;Katie Spencer;Sarah Greenwood
734;2023;96;Killers of the Flower Moon;;False;;Adam Willis;Jack Fisk
735;2023;96;Napoleon;;False;;Elli Griff;Arthur Max
736;2023;96;Oppenheimer;;False;;Claire Kaufman;Ruth De Jong
737;2023;96;Poor Things;;False;;Zsuzsa Mihalek;James Price and Shona Heath
